"timestamp [UTC]",message,logLevel,severityLevel
"3/21/2026, 11:39:59.998 AM","Executing 'Functions.TrainTimelinessMonitor' (Reason='Timer fired at 2026-03-21T11:39:59.9984949+00:00', Id=fb54f792-b83a-4278-9426-0f77f377aebd)",Information,1
"3/21/2026, 11:40:00.001 AM","Starting timeliness data collection...",Information,1
"3/21/2026, 11:40:00.001 AM","Collecting timeliness data for Metropolitan line...",Information,1
"3/21/2026, 11:40:00.110 AM","Fetched 199 arrival predictions for metropolitan",Information,1
"3/21/2026, 11:40:00.201 AM","Fetched 0 timetable entries for metropolitan at 940GZZLUBST",Information,1
"3/21/2026, 11:40:00.289 AM","Fetched 0 timetable entries for metropolitan at 940GZZLUFYR",Information,1
"3/21/2026, 11:40:00.703 AM","Failed to fetch timetable for metropolitan/940GZZLUMSP: 400 Client Error: Bad Request for url: https://api.tfl.gov.uk/Line/metropolitan/Timetable/940GZZLUMSP",Error,3
"3/21/2026, 11:40:00.809 AM","Fetched 0 timetable entries for metropolitan at 940GZZLUHOH",Information,1
"3/21/2026, 11:40:00.907 AM","Fetched 0 timetable entries for metropolitan at 940GZZLUKSX",Information,1
"3/21/2026, 11:40:00.909 AM","Collecting timeliness data for Bakerloo line...",Information,1
"3/21/2026, 11:40:01.007 AM","Fetched 227 arrival predictions for bakerloo",Information,1
"3/21/2026, 11:40:01.092 AM","Fetched 0 timetable entries for bakerloo at 940GZZLUPAC",Information,1
"3/21/2026, 11:40:01.245 AM","Fetched 0 timetable entries for bakerloo at 940GZZLUOXC",Information,1
"3/21/2026, 11:40:01.457 AM","Fetched 0 timetable entries for bakerloo at 940GZZLUWLO",Information,1
"3/21/2026, 11:40:01.594 AM","Fetched 0 timetable entries for bakerloo at 940GZZLUEMB",Information,1
"3/21/2026, 11:40:01.704 AM","Fetched 882 timetable entries for bakerloo at 940GZZLUEAC",Information,1
"3/21/2026, 11:40:01.727 AM","Collecting timeliness data for Hammersmith & City line...",Information,1
"3/21/2026, 11:40:01.818 AM","Fetched 252 arrival predictions for hammersmith-city",Information,1
"3/21/2026, 11:40:01.928 AM","Fetched 336 timetable entries for hammersmith-city at 940GZZLUHSC",Information,1
"3/21/2026, 11:40:02.028 AM","Fetched 0 timetable entries for hammersmith-city at 940GZZLUBST",Information,1
"3/21/2026, 11:40:02.121 AM","Fetched 0 timetable entries for hammersmith-city at 940GZZLUKSX",Information,1
"3/21/2026, 11:40:02.233 AM","Fetched 0 timetable entries for hammersmith-city at 940GZZLULVT",Information,1
"3/21/2026, 11:40:02.342 AM","Fetched 333 timetable entries for hammersmith-city at 940GZZLUBKG",Information,1
"3/21/2026, 11:40:02.348 AM","Collecting timeliness data for Circle line...",Information,1
"3/21/2026, 11:40:02.435 AM","Fetched 114 arrival predictions for circle",Information,1
"3/21/2026, 11:40:02.523 AM","Fetched 338 timetable entries for circle at 940GZZLUHSC",Information,1
"3/21/2026, 11:40:02.632 AM","Fetched 0 timetable entries for circle at 940GZZLUBST",Information,1
"3/21/2026, 11:40:02.724 AM","Fetched 0 timetable entries for circle at 940GZZLUKSX",Information,1
"3/21/2026, 11:40:02.810 AM","Fetched 0 timetable entries for circle at 940GZZLULVT",Information,1
"3/21/2026, 11:40:02.906 AM","Fetched 0 timetable entries for circle at 940GZZLUEMB",Information,1
"3/21/2026, 11:40:02.911 AM","Saved snapshot to /tmp/timeliness_data/snapshot_20260321_114002.json",Information,1
"3/21/2026, 11:40:02.929 AM","Report generated: /tmp/timeliness_report.html",Information,1
"3/21/2026, 11:40:02.931 AM","Summary saved: /tmp/timeliness_data/latest_summary.json",Information,1
